news_id,pubDate,title,description
091e5dc8e9a4,2026-02-14 15:45:00+09:00,"배현진 징계에 국힘 '내홍'…친한계·소장파 ""자멸의 정치"" 비판(종합)","장동혁 ""윤리위가 원칙대로 판단""…한동훈 ""한심스러운 추태"" 박수윤 노선웅 기자 = 국민의힘 중앙윤리위가... 두둔, 국민의힘 내 계파 갈등이 커지고 있다. 한 전 대표는 설 명절 연휴 첫날인 이날 페이스북에 ""정치가..."
563fbaad3023,2026-02-14 15:41:00+09:00,"[속보] 김지호 ""배현진 징계 난투극은 공천 투쟁...세금 받은 공당이 내...","국민의힘이 배현진 의원에게 ‘당원권 1년 정지’ 중징계를 결정한 가운데, 김지호 더불어민주당 대변인이 “국민의힘 징계 난투극, 도를 넘었다”며 직격했다. 김 대변인은 14일 자신의 사회관계망서비스(SNS)를 통해 “(배..."
d3bc4a4a0d4b,2026-02-14 15:40:00+09:00,"홍준표 ""내란 잔당으론 지선뿐 아니라 총선도 가망 없어""","홍준표 전 대구시장이 14일 ""용병세력을 척결하지 않고는 그 당의 미래는 없다""며 국민의힘을 지적했다. 홍 전 시장은 소셜네트워크서비스(SNS)에 ""민주당 이재명 대표는 지난 총선을 앞두고 반명세력을 무자비하게..."
a9c0c3c4c8c9,2026-02-14 15:37:00+09:00,"""영영 못 받을 줄 알았는데"" 소방관들에게 감사패 받은 김동연","경기도청 일대에서 1인 시위를 이어오던 정용우 미래소방연합 위원장을 비롯한 소방관들은 지난해 여름 용산 대통령실부터 청와대까지 가두행진을 일주일간 진행했다. 경기도 국정감사에서도 이 이슈는 다뤄졌고, 당시..."
4a5560267f7e,2026-02-14 15:31:00+09:00,"장동혁, '李 재판 재개' 요구에…與 ""사법부에 부당 압박""","더불어민주당은 ""사법부의 고유 권한을 정당의 정치적 이해 아래 두려는 부당한 압박""이라고 반발했다. 장 대표는 이날 자신의 사회관계망서비스(SNS)에 '조희대 대법원장님께'라는 글을 올리고 ""사법부의 독립은 사법부..."
b51d768be7fa,2026-02-14 15:29:00+09:00,연휴 첫날 모란시장 찾은 '경기도지사 출마' 한준호·추미애,"6·3 지방선거에서 경기도지사 출마하는 한준호 국회의원과 추미애 국회의원이 14일 이재명 대통령의 정치적... 그는 ""모란시장은 제가 대선 기간 이재명 대통령과 여러 차례 왔던 곳이기도 하고, 이 대통령께 상당히 의미..."
3620b3aac9c6,2026-02-14 15:28:00+09:00,"여야, 설 연휴 첫날부터 李대통령 '다주택자' 비판 메시지 두고 정면충...","반면, 더불어민주당은 집 6채를 소유한 것으로 알려진 장동혁 국민의힘 대표를 겨냥한 맞불 공세에 나섰다. 김현정 민주당 원내대변인은 이날 서면브리핑에서 ""주택 6채를 보유한 다주택자 장동혁 국민의힘 대표가 이..."
0323d15e8aea,2026-02-14 15:27:00+09:00,나경원 “증시 들썩이지만 상인들에겐 ‘남의 집 잔치’…설 대목 옛말...,"그는 대선 직전인 지난해 5월22일 중앙선대위 회의에서는 “최근 ‘반시장·반기업 DNA’ 이재명 후보가 ‘코스피 5000 시대’라는 허황한 구호를 외치고 있다”며 “호텔 경제론, 노쇼 주도 성장, 커피 원가 120원, 파업..."
7502802bc48b,2026-02-14 15:24:00+09:00,"국힘 ""송영길 2심은 '진영무죄', 사법붕괴의 서막"" '재판소원법' 방어 예...",설 연휴가 시작되는 오늘(14일) 국민의힘이 더불어민주당의 사법개혁안 추진을 '사법 붕괴의 서막'으로 규정하며 '설 밥상머리 민심' 의제 설정을 노렸습니다. 특히 민주당이 2월 내 본회의 통과를 목표로 하고 있는...
1b74e39e176e,2026-02-14 15:22:00+09:00,[단독] 국가유산 지정 '목전'인데…1·29 주택 공급 대상에,"<김재섭/국민의힘 의원> ""역사적 의미가 있는 종묘 앞을 개발하는 건 절대 안 된다면서 세운지구 개발에 반대하던 이재명 정부가, 역사적 가치가 큰 태릉이나 한국경제발전전시관에 대한 개발에는 한없이 관대한…"" 김..."
