news_id,pubDate,title,description


ea9957f31848,2026-02-07 18:18:00+09:00,"정청래, 12일 상임고문 오찬 후 '합당 의견 수렴' 마무리할 듯","정청래 더불어민주당 당 상임고문과의 오찬을 마지막으로 조국혁신당과의 합당에 대한 당내 의견 수렴을 마무리할 계획인 것으로 전해졌습니다. 당 관계자는 MBC와의 통화에서 ""다음 주 12일로 예정된 당 상임고문들과의..."
57a66dbcfb99,2026-02-07 17:46:00+09:00,“전북도지사 공천권이 협상 카드?”…사실이라면 전북도민 주권에 대한...,"더불어민주당과 조국혁신당의 정당 간 합당 논의 과정에서 전북도지사 공천권이 '협상 카드'로 거론됐다는 소문이 지역 정가에 퍼지면서 파장이 커지고 있다. 사실 여부를 떠나, 이 같은 이야기가 회자되는 것 자체가..."

7078c05078fe,2026-02-07 17:30:00+09:00,장생탄광 희생자 84주기 추도식···희생자 유골 수습 위한 수중 조사도...,"추도식에는 탄광 희생자 유족회와 '장생탄광 희생자 귀향추진단', 행안부 과거사 지원사업 단장, 장생탄광 사고 진상 규명 촉구결의안을 낸 더불어민주당 김준혁 의원과 차규근 조국혁신당 대구시당위원장, 홍의락 전..."


d7b8dcf25e86,2026-02-07 15:44:00+09:00,"'합당 문건' 민주 초선 대화방서 성토…""정청래 마음 못 바꾼다는 증거...","더불어민주당과 조국혁신당의 합당 준비 문건이 작성됐다는 사실이 알려지자, 어제(6일) 민주당 초선의원들이 모인 단체 대화방에서는 격앙된 반응이 나왔던 것으로 파악됐습니다. 이 가운데에는 ""정청래 대표의 마음을..."
625e1dcfec48,2026-02-07 15:17:00+09:00,"이준석, ‘외국인 여론 왜곡 방지법’ 발의…장동혁 “공감” 동참",장동혁 국민의힘 대표와 이준석 개혁신당 대표 장동혁 국민의힘 대표와 개혁신당 이준석 대표가 6·3 지방선거를 앞두고 6일 ‘외국인의 여론 왜곡 방지법’을 공동으로 발의했다. 이들이 낸 ‘정보통신망 이용촉진 및...

320a3524edcc,2026-02-07 13:36:00+09:00,천하람 의원 '지식인 사태'가 보여준 민낯,"▲  (좌)천하람 개혁신당 원내대표 (우) 천 원내대표가 과거 지식인에 달았던 답변 ⓒ 페이스북,네이버 화면 갈무리 지난 4일 오후, 국내 최대 포털 네이버에서 예기치 못한 '판도라의 상자'가 열렸습니다. 서비스 업데이트..."
b9d5949a7676,2026-02-07 12:46:00+09:00,"정청래의 모놀로그, ‘왜 지금 굳이’인가",이렇게 되면서 국민의힘 일각에서 기대를 걸었던 개혁신당과의 선거 연대도 당장은 모색하기 어려을 듯하다. 이준석 개혁신당 대표는 오히려 제3지대에서의 영향력 확장에 나설 채비를 보인다. 어찌됐든 ‘사회권 국가...
b02788a3f9df,2026-02-07 10:38:00+09:00,의정부시장 여론조사 김동근 32.2% 선두...정당·후보 '온도차',"조국혁신당은 3.5%, 개혁신당 2.9%, 진보당 0.7%로 나타났다. 지지 정당이 없다고 답한 응답자는 11.2%였다. 차기 시장 선택 기준을 묻는 질문에서는 '행정·정책 전문성'을 꼽은 응답이 39.9%로 가장 많았다. 이어 도덕성과..."
