search_keyword,news_id,pubDate,collected_at,title,description,link,originallink,content,cluster_id,title_id,body_id,is_canon,replaced_by
이재명,fb3721e0cc9d,2026-01-31 09:07:00,2026-01-31 09:13:50,"李대통령 부부, 故 이해찬 전 총리 영결식 참석",이재명 대통령 부부는 31일 고(故) 이해찬 전 총리 영결식에 참석했다. 이 대통령과 김혜경 여사는 이날 오전 국회 의원회관 대회의실에서 열린 이 전 총리 영결식에 참석했다. 앞서 이 대통령 부부는 지난 27일 이 전... ,https://n.news.naver.com/mnews/article/421/0008745730?sid=100,https://www.news1.kr/politics/assembly/6057466,"지난 27일 빈소 조문 이후 영결식까지 참석 (서울=뉴스1) 김정률 기자 = 이재명 대통령 부부는 31일 고(故) 이해찬 전 총리 영결식에 참석했다. 이 대통령과 김혜경 여사는 이날 오전 국회 의원회관 대회의실에서 열린 이 전 총리 영결식에 참석했다. 앞서 이 대통령 부부는 지난 27일 이 전 총리의 빈소를 찾아 조문하고 국민훈장 무궁화장을 추서했다. 당시 이 대통령은 유가족들과 일일이 두 손을 맞잡으며 위로를 건넸다. 이 전 총리 장례식은 이날 오전 6시30분 서울대 장례식장에서 유족과 정계 인사들이 참석한 가운데 엄수됐다. 김민석 국무총리와 우원식 국회의장, 조정식 정무특별보좌관 등은 마지막 조문을 했다. 이후 이 전 총리의 유해와 대형 영정사진, 국민훈장 무궁화장을 실은 링컨 빅리무진은 서울대병원 장례식장을 떠나 민주평통으로 이동하면서 노제가 치러졌다. 민주평통에서는 이 전 총리가 생전 업무를 보던 집무실과 운영위원회의를 주재하던 대회의실 등을 거쳐 추모의 시간을 가졌다. 마지막 묵념을 마친 뒤 운구차는 서울시 영등포구 민주당사로 향했다. 오전 7시 52분 이 전 총리의 운구차가 민주당사에 도착하자 민주당 의원 50여명이 도열해 이 전 총리를 맞이했다. 유족들은 민주당사 9층 당대표 집무실과 2층 당대표실을 마지막으로 돌아본 뒤 국회의원회관으로 이동했다. 장례식은 '고 이해찬 제36대 국무총리 사회장'으로 5일 동안 진행됐다. 사회장은 국가나 사회 발전에 기여한 인물이 별세했을 때 관련 단체나 사회 각계가 중심이 돼 장례위원회를 구성해 거행하는 방식이다.",C-50,T-8,B-2,True,fb3721e0cc9d
이재명,06027d3f2186,2026-01-31 08:51:00,2026-01-31 09:13:50,"李대통령 ""부동산 정상화 불가능 같나…5천피보다 쉽고 중요""","""표계산 없이 국민믿고 비난 감수하면 돼""…""마지막 기회"" 투기성 투자자에 경고 ""종묘 앞 개발은 되고, 태릉 옆 주택공급은 안 되나""…'SNS 정치' 이어가 이재명 대통령은 31일 ""'망국적 부동산'의 정상화가 불가능할 것... ",https://n.news.naver.com/mnews/article/001/0015877300?sid=100,https://www.yna.co.kr/view/AKR20260131017600001?input=1195m,"""표계산 없이 국민믿고 비난 감수하면 돼""…""마지막 기회"" 투기성 투자자에 경고 ""종묘 앞 개발은 되고, 태릉 옆 주택공급은 안 되나""…'SNS 정치' 이어가 (서울=연합뉴스) 임형섭 기자 = 이재명 대통령은 31일 ""'망국적 부동산'의 정상화가 불가능할 것 같은가""라며 ""표 계산 없이 국민을 믿고 비난을 감수하면 될 일""이라면서 주택시장 안정화에 대한 강한 의지를 드러냈다. 이 대통령은 이날 자신의 엑스(X·옛 트위터) 계정에 글을 올려 '집 주인들 백기 들었나, 서울 아파트값 급브레이크'라는 제목의 기사를 소개하며 이같이 말했다. 해당 기사에는 정부가 부동산 세제 개편 검토 가능성을 언급한 이후 서울 아파트값이 소폭 하락했다는 내용이 담겼다. 이 대통령은 과거 경기지사 시절 계곡·하천 불법시설 정비사업을 펼친 일을 거론하며 ""불법 계곡의 정상화로 계곡 정비를 완료했다""고 언급했다. 또 ""불법과 부정이 판치던 주식시장을 정상화해 5천피(시대)를 개막했다""고 덧붙였다. 그러면서 ""부동산 정상화는 5천피, 계곡 정비보다 훨씬 쉽고 더 중요한 일""이라고 강조했다. 이 대통령은 ""기회가 있을 때 잡으시길 바란다. 이번이 마지막 기회였음을 곧 알게 될 것""이라고 덧붙였다. 이는 집값 상승을 기대하며 매물을 내놓지 않고 있는 일부 투기성 다주택자 등을 겨냥한 경고로 해석된다. 한편 이 대통령은 주말인 이날도 오전 8시 이전까지 엑스 계정에 3건의 게시물을 올리는 등 SNS를 통한 직접 메시지 발신이 잦아지는 모습이다. 우선 이 대통령은 '종묘 앞 고층 개발은 안 되고, 태릉 옆 주택 개발은 되나'라는 제목의 기사를 링크했다. 문화유산 보호를 이유로 종묘 인근 개발에 부정적이던 정부가 주택공급을 위해 태릉 개발에 나서는 것은 이중적 태도라는 야당 측 인사의 지적을 소개한 기사다. 이에 이 대통령은 ""종묘 앞 고층 개발은 되고, 태릉 옆 주택 공급은 안 되나""라고 남겼다. '거울 화법'처럼 기사의 제목을 살짝 바꿔 오히려 종묘 앞 고층빌딩 개발을 추진하면서 태릉 옆 주택 공급에 반대하는 목소리야말로 이중적일 수 있다는 점을 꼬집은 것으로 풀이된다. 그러면서 ""똑같은 사안에 정 반대의 입장, 어떤 차이가 있을까요""라고 적었다. 이 대통령은 아울러 미국에서는 주가조작 등 부정행위 신고자에 대한 포상액이 한국보다 훨씬 크다는 내용의 기사를 게시하며 ""과감한 신고포상제도, 우리도 확실히 도입해야겠죠?""라고 남기기도 했다. hysup@yna.co.kr",C-51,T-7,B-3,True,06027d3f2186
이재명,10e010f58c37,2026-01-31 08:23:00,2026-01-31 09:13:50,"강훈식 ""노르웨이와 1.3조 천무 계약 체결…북유럽 진출 교두보""",전략경제협력 특사 자격으로 방문…노르웨이 총리에 李대통령 친서 전달 이재명 대통령의 전략경제협력 특사 자격으로 노르웨이를 방문 중인 강훈식 비서실장이 노르웨이 정부의 한국산 다연장 로켓 '천무' 구매 계약... ,https://n.news.naver.com/mnews/article/001/0015877287?sid=100,https://www.yna.co.kr/view/AKR20260131016300001?input=1195m,"전략경제협력 특사 자격으로 방문…노르웨이 총리에 李대통령 친서 전달 (서울=연합뉴스) 황윤기 기자 = 이재명 대통령의 전략경제협력 특사 자격으로 노르웨이를 방문 중인 강훈식 비서실장이 노르웨이 정부의 한국산 다연장 로켓 '천무' 구매 계약 체결을 알리며 ""북유럽 진출의 교두보를 확고히 마련했다""고 말했다. 강 실장은 30일 페이스북에 올린 글에서 ""노르웨이 정부와 의회의 사업 승인 결정에 이어 최종적으로 1.3조원에 달하는 계약이 체결됐다""며 ""북유럽 국가 대상 수출로는 최대규모""라고 밝혔다. 그는 ""지난해 10월 대통령 특사로 임명되자마자 3박 5일 일정으로 폴란드, 루마니아, 노르웨이를 방문했다. 그때의 방문이 약 100일 만에 실질적 성과인 계약으로 이어져 정말 감사하고 또 감회가 남다르다""고 덧붙였다. 당시 강 비서실장은 노르웨이 정부 고위 관계자들을 잇달아 만나 한국 정부 차원의 협력 의지를 설명한 것으로 알려졌다. 강 실장은 이번 출장에서도 요나스 가르 스퇴르 노르웨이 총리를 만나 이 대통령의 친서를 전달했으며 노르웨이 외교장관, 국방부 정무차관 등 고위직과 연달아 면담했다. 강 실장은 캐나다·노르웨이 등 방문을 마치고 31일 오후 인천국제공항을 통해 귀국할 예정이다. 노르웨이 국방부는 190억크로네(2조8천억원) 규모의 차세대 장거리 정밀화력 체계(LRPFS) 최종사업자로 한화에어로스페이스를 선정하고 30일(현지시간) 계약을 체결했다. 전체 사업비 중 천무 구매비를 제외한 나머지 비용은 노르웨이 군이 관련 전력화에 필요한 비용과 인프라 구축 등에 쓰일 예정이다. water@yna.co.kr",C-48,T-16,B-12,True,10e010f58c37
개혁신당,9123d87d5e38,2026-01-31 05:10:00,2026-01-31 07:12:35,이해찬 전 총리 영결식 오늘 국회서 엄수…세종서 '영면',"김민석 국무총리와 정청래 민주당 대표, 김부겸 전 국무총리, 유시민 작가 등이 장례 내내 상주 역할을 하며 조문객을 맞이한 가운데, 이재명 대통령과 장동혁 국민의힘 대표, 이준석 개혁신당 대표 등 각계각층의 조문... ",https://n.news.naver.com/mnews/article/421/0008745544?sid=100,https://www.news1.kr/politics/assembly/6056810,"5일 간 사회장으로…李대통령 등 각계각층 조문 발길 발인·노제, 영결식, 자택 들른 후 세종 은하수공원 평장 (서울=뉴스1) 김일창 기자 = 이해찬 전 국무총리의 영결식이 31일 서울 여의도 국회에서 엄수된다. 더불어민주당은 이날 오전 9시 국회의원회관 대회의실에서 '고 이해찬 제36대 국무총리 사회장 영결식'을 엄수한다고 밝혔다. 발인은 오전 6시 30분 서울대병원 빈소에서 진행된다. 오전 7시 20분 서울 장충동 민주평통 사무실, 오전 8시 20분 서울 여의도 민주당사에서 노제를 이어간다. 국회의원회관에서 영결식을 거행하면 오전 11시 화장장인 서울추모공원으로 이동해 화장한다. 안장식은 오후 3시 30분 세종시 은하수공원에서 '평장'(봉분을 만들지 않고 평평하게 매장)으로 한다. 부모 곁에 묻히고 싶다는 고인의 뜻에 따른 것이다. 안장식장에 가는 도중 세종시 전동면 자택에 들를 예정이다. 이 전 총리는 지난 25일 베트남 출장 도중 심근경색으로 별세했다. 향년 74세. 27일 오전 한국에 도착한 시신은 곧바로 서울 종로구 서울대병원 장례식장으로 옮겨져 낮 12시 30분쯤부터 조문을 받았다. 김민석 국무총리와 정청래 민주당 대표, 김부겸 전 국무총리, 유시민 작가 등이 장례 내내 상주 역할을 하며 조문객을 맞이한 가운데, 이재명 대통령과 장동혁 국민의힘 대표, 이준석 개혁신당 대표 등 각계각층의 조문 발걸음이 이어졌다. 장례식은 '고 이해찬 제36대 국무총리 사회장'으로 5일 동안 진행됐다. 사회장은 국가나 사회 발전에 기여한 인물이 별세했을 때 관련 단체나 사회 각계가 중심이 돼 장례위원회를 구성해 거행하는 방식이다.",C-2,T-2,B-2,True,9123d87d5e38
이재명,eae26dc51f10,,2026-01-31 06:11:01,故이해찬 전 총리 오늘 영결식…'민주당 킹메이커' 영면에,"대표, 이재명 정부 민주평통 수석부의장 등 주요 공직을 두루 지낸 정치계 원로다. 4명의 민주당계 대통령과... 그동안 이재명 대통령과 문재인 전 대통령, 각 정당 지도부와 부처 장관을 비롯해 각계 인사들이 이 전 총리의... ",https://n.news.naver.com/mnews/article/003/0013740960?sid=100,https://www.newsis.com/view/NISX20260130_0003497343,"오전 6시30분 발인…노제·영결식 엄수 후 안장 [서울=뉴시스] 이창환 기자 = 고(故) 이해찬 전 국무총리(민주평화통일자문회의 수석부의장) 영결식이 31일 국회에서 엄수된다. 국회 등에 따르면 이 전 총리 영결식은 이날 오전 9시 국회 의원회관 대회의실에서 진행된다. 앞서 이 전 총리의 발인은 이날 오전 6시30분 서울대병원에서 진행된다. 이어 서울 중구 민주평화통일자문회의 민주평통 사무실과 서울 여의도 민주당사 등에서 노제를 지낸다. 영결식 이후에는 서울추모공원에서 화장을 진행하고, 세종 은하수공원에 안장될 예정이다. 7선 의원 출신인 그는 김대중 정부 교육부 장관, 노무현 정부 국무총리, 문재인 정부에서 민주당 대표, 이재명 정부 민주평통 수석부의장 등 주요 공직을 두루 지낸 정치계 원로다. 4명의 민주당계 대통령과 정치 행보를 함께하며 민주 진영 '킹메이커'로 불렸다. 이 전 총리는 베트남 출장 중이던 지난 23일 건강이 악화돼 현지 병원에서 치료를 받았으나, 끝내 의식을 회복하지 못하고 숨을 거뒀다. 고인의 장례는 이달 27일부터 이날까지 닷새간 민주평통과 민주당 공동 주관하에 기관·사회장으로 치러졌다. 그동안 이재명 대통령과 문재인 전 대통령, 각 정당 지도부와 부처 장관을 비롯해 각계 인사들이 이 전 총리의 빈소를 찾아 고인을 기렸다.",C-7,T-7,B-7,True,eae26dc51f10
이재명,9123d87d5e38,,2026-01-31 06:11:01,이해찬 전 총리 영결식 오늘 국회서 엄수…세종서 '영면',"김민석 국무총리와 정청래 민주당 대표, 김부겸 전 국무총리, 유시민 작가 등이 장례 내내 상주 역할을 하며 조문객을 맞이한 가운데, 이재명 대통령과 장동혁 국민의힘 대표, 이준석 개혁신당 대표 등 각계각층의 조문... ",https://n.news.naver.com/mnews/article/421/0008745544?sid=100,https://www.news1.kr/politics/assembly/6056810,"5일 간 사회장으로…李대통령 등 각계각층 조문 발길 발인·노제, 영결식, 자택 들른 후 세종 은하수공원 평장 (서울=뉴스1) 김일창 기자 = 이해찬 전 국무총리의 영결식이 31일 서울 여의도 국회에서 엄수된다. 더불어민주당은 이날 오전 9시 국회의원회관 대회의실에서 '고 이해찬 제36대 국무총리 사회장 영결식'을 엄수한다고 밝혔다. 발인은 오전 6시 30분 서울대병원 빈소에서 진행된다. 오전 7시 20분 서울 장충동 민주평통 사무실, 오전 8시 20분 서울 여의도 민주당사에서 노제를 이어간다. 국회의원회관에서 영결식을 거행하면 오전 11시 화장장인 서울추모공원으로 이동해 화장한다. 안장식은 오후 3시 30분 세종시 은하수공원에서 '평장'(봉분을 만들지 않고 평평하게 매장)으로 한다. 부모 곁에 묻히고 싶다는 고인의 뜻에 따른 것이다. 안장식장에 가는 도중 세종시 전동면 자택에 들를 예정이다. 이 전 총리는 지난 25일 베트남 출장 도중 심근경색으로 별세했다. 향년 74세. 27일 오전 한국에 도착한 시신은 곧바로 서울 종로구 서울대병원 장례식장으로 옮겨져 낮 12시 30분쯤부터 조문을 받았다. 김민석 국무총리와 정청래 민주당 대표, 김부겸 전 국무총리, 유시민 작가 등이 장례 내내 상주 역할을 하며 조문객을 맞이한 가운데, 이재명 대통령과 장동혁 국민의힘 대표, 이준석 개혁신당 대표 등 각계각층의 조문 발걸음이 이어졌다. 장례식은 '고 이해찬 제36대 국무총리 사회장'으로 5일 동안 진행됐다. 사회장은 국가나 사회 발전에 기여한 인물이 별세했을 때 관련 단체나 사회 각계가 중심이 돼 장례위원회를 구성해 거행하는 방식이다.",C-12,T-12,B-12,True,9123d87d5e38
이재명,f2a0abfcc32b,,2026-01-31 05:10:31,"이 대통령 ""임금 체불 감소, 노동자 출신 장관 덕분""","이재명 대통령은 임금 체불 피해가 3년 만에 감소세로 돌아선 것과 관련해, 주무 부처 수장인 김영훈 고용노동부 장관을 공개 칭찬했습니다. 이 대통령은 어제(30일) SNS에, 지난해 임금 체불 피해 노동자가 2024년보다 7.4... ",https://n.news.naver.com/mnews/article/052/0002308396?sid=100,https://www.ytn.co.kr/_ln/0101_202601310402114111,"이재명 대통령은 임금 체불 피해가 3년 만에 감소세로 돌아선 것과 관련해, 주무 부처 수장인 김영훈 고용노동부 장관을 공개 칭찬했습니다. 이 대통령은 어제(30일) SNS에, 지난해 임금 체불 피해 노동자가 2024년보다 7.4% 줄어 3년 만에 감소세로 전환했다는 내용의 기사를 공유했습니다. 이어 김 장관과 노동부 공무원을 격려하고 감사의 뜻을 전하며, 노동자 출신 노동부 장관이 '열일'한 덕분이라고 강조했습니다. 김 장관은 현직 철도 기관사로 일하던 도중 장관 후보자로 지명돼 화제가 된 적이 있습니다. ※ '당신의 제보가 뉴스가 됩니다' [카카오톡] YTN 검색해 채널 추가 [전화] 02-398-8585 [메일] social@ytn.co.kr",C-8,T-8,B-8,True,f2a0abfcc32b
이재명,241f4a4f2f91,,2026-01-31 05:10:31,제2벤처 열풍 시동…이 대통령 “국가창업시대로 대전환”,"이재명 대통령은 청년 세대에 특히 많은 기회가 주어져야 한다며, 창업을 국가가 책임지는 국가창업시대로... [리포트] 인공지능 로봇 '아틀라스'의 생산 현장 투입 논란을 이틀째 언급한 이재명 대통령. [이재명 대통령... ",https://n.news.naver.com/mnews/article/056/0012116223?sid=100,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8473914&ref=A,"[앵커] 인공지능 사회로의 전환이 가속화되면서, 일자리 충격과 양극화 문제에 대한 고민도 커지고 있습니다. 이재명 대통령은 청년 세대에 특히 많은 기회가 주어져야 한다며, 창업을 국가가 책임지는 국가창업시대로 대전환하겠다고 밝혔습니다. 정부는 오디션 방식으로 창업 인재를 발굴해 지원에 나섭니다. 보도에 손서영 기자입니다. [리포트] 인공지능 로봇 '아틀라스'의 생산 현장 투입 논란을  이틀째 언급한 이재명 대통령. [이재명 대통령 : ""24시간 먹지도 자지도 않고. 스스로 기능도 개선해 가면서 일하는. 우리 일자리를 대체한다고 하니까 얼마나 공포스럽겠어요.""] 절박함은 이해하지만 인공지능 사회로의 전환은 피할 수 없다며,  ""어떻게든 대응해야 한다""고  강조했습니다. 대안으로 '창업'을 제시했습니다. ""좋은 아이디어가 있으면 시작부터 정부가 지원하고 함께 책임지겠다""며 특히 청년들을 지원하겠다고 했습니다. [이재명 대통령 : ""창업을 국가가 책임지는, 고용보다는 이제는 창업으로 국가의 중심을 바꾸는. 그 대전환의 출발점이 되지 않을까.""] 대규모 창업 지원 프로젝트도 가동됩니다. 정부는 분야별로 5천 명의 창업 인재를 발굴하고 오디션을 통해 최종 우승자에게는 10억 원 이상을 지원합니다. 5백억 원 규모의 창업 열풍 펀드를 조성하고, 2030년까지 10개 창업 도시도 조성합니다. 현장에 참석한 청년들은  자율성과 함께  지속성이 보장돼야 한다고 강조했습니다. [김가현/스타트업 뉴즈 대표 : ""아직 대한민국에서는 실패의 경험이 용인되는 문화가 아니기 때문에….""] [한상엽/소풍벤처스 대표 : ""창업 숫자가 중요하다기보다는 창업의 질이 좋아져야 하기 때문에….""] 이 대통령은 오디션식 창업 경진대회에 대해 1년에 한 번은 너무 적다며 사업 확대 검토를 지시했습니다. KBS 뉴스 손서영입니다. 촬영기자:김한빈 류재현/영상편집:이윤진/그래픽:유건수 여현수 ■ 제보하기 ▷ 전화 : 02-781-1234, 4444 ▷ 이메일 : kbs1234@kbs.co.kr ▷ 카카오톡 : 'KBS제보' 검색, 채널 추가 ▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",C-9,T-9,B-9,True,241f4a4f2f91
이재명,e136f12d0836,,2026-01-31 03:10:10,"이 대통령 ""창업으로 대전환""...정부 '모두의 창업' 프로젝트 발표","이재명 대통령은 전통적인 방식으로 좋은 일자리를 만드는 건 한계가 있는 것 같다며, 창업 사회로 가야 한다고 강조했습니다. 이 대통령은 어제(30일) 청와대에서 열린 국가창업시대 전략회의에서, 이제는 고용보다는... ",https://n.news.naver.com/mnews/article/052/0002308380?sid=100,https://www.ytn.co.kr/_ln/0101_202601310205593221,"이재명 대통령은 전통적인 방식으로 좋은 일자리를 만드는 건 한계가 있는 것 같다며, 창업 사회로 가야 한다고 강조했습니다. 이 대통령은 어제(30일) 청와대에서 열린 국가창업시대 전략회의에서, 이제는 고용보다는 창업으로 국가의 중심을 바꿔야 한다며 이같이 말했습니다. 어제 회의에선 스타트업 열풍 조성을 위해 정부가 마련한 '모두의 창업' 프로젝트도 발표됐습니다. 핵심은 기술 기반 창업 분야와 지역 기반 창업 분야에서 모두 5천 명을 선발해, 활동 자금 2백만 원씩을 지원하고, 두 단계 지역 오디션을 거쳐 최종 우승자를 선발하는 것입니다. 대국민 경연을 통해 선정된 우승자에겐 10억 원에 달하는 상금·투자금과 각종 시장 진출 지원 혜택 등이 제공됩니다. 정부는 도전 과정에서 실패한 경험이 또 다른 시도로 이어질 수 있도록, 재도전 플랫폼을 구축하고 실패 경력서도 발행할 계획입니다. ※ '당신의 제보가 뉴스가 됩니다' [카카오톡] YTN 검색해 채널 추가 [전화] 02-398-8585 [메일] social@ytn.co.kr",C-0,T-0,B-0,True,e136f12d0836
이재명,434360b47e65,,2026-01-31 02:08:35,李 “한국인 건들면 패가망신”… 캄보디아어로 스캠범죄 경고,"이재명 대통령이 30일 “한국인 건들면 패가망신, 빈말 같습니까”라며 스캠(사기) 범죄 등 초국가 범죄에 대한 강력 대응 의지를 강조했다. 이 대통령은 이날 X(옛 트위터·사진)를 통해 ‘한국 경찰의 단속으로 캄보디아... ",https://n.news.naver.com/mnews/article/020/0003693912?sid=100,https://www.donga.com/news/Politics/article/all/20260130/133269586/2,"SNS에 ‘빈말 아니다’ 강력대응 강조 이재명 대통령이 30일 “한국인 건들면 패가망신, 빈말 같습니까”라며 스캠(사기) 범죄 등 초국가 범죄에 대한 강력 대응 의지를 강조했다. 이 대통령은 이날 X(옛 트위터·사진)를 통해 ‘한국 경찰의 단속으로 캄보디아 현지의 중국 범죄 조직도 한국인 조직원을 받지 않는다’는 내용의 기사를 공유하면서 “대한민국은 한다면 합니다, 끝까지”라고 적었다. 이 대통령은 같은 내용을 캄보디아어로 병기했다. 앞서 이 대통령은 26일 초국가범죄 특별대응 태스크포스(TF) 사무실을 격려 방문한 뒤 “국민의 삶을 파괴하는 범죄에는 타협도 관용도 없다”며 “‘한국인을 건드리면 반드시 대가를 치른다’는 사실을 전 세계에 분명히 보여주며, 더욱 철저히 대응해 나가겠다”고 강조했다. 초국가범죄 특별대응 TF는 이 대통령 지시로 구성된 초국가범죄 대응 컨트롤타워로 국가정보원과 검찰, 경찰 등 10개 기관이 참여하고 있다. 정부는 캄보디아 경찰과의 공조를 통해 역대 최대 규모인 한국 국적 스캠 범죄 피의자 73명을 캄보디아에서 검거한 뒤 23일 국내로 송환하기도 했다.",C-2,T-2,B-2,True,434360b47e65
