search_keyword,news_id,pubDate,collected_at,title,description,link,originallink,content,cluster_id,title_id,body_id,is_canon,replaced_by,removed_by
조국혁신당,ed2bac6de307,2026-02-12 10:21:00+09:00,2026-02-12 10:28:06,"장동혁, 李대통령 오찬 불참의사.. ""부부싸움 후 옆집 아저씨 부른 꼴""","장 대표는 이번 오찬 회동이 민주당과 조국혁신당의 합당 문제·2차 종합 특검 선임 등을 둘러싸고 당청갈등이 불거진 것을 해결하기 위한 것이라고 분석했다. 그는 ""시기상으로나 여러 면으로 봤을때 부부싸움을 하고 둘이...",https://n.news.naver.com/mnews/article/014/0005477669?sid=100,http://www.fnnews.com/news/202602121002248742,"사실상 불참 의사 與 사법개혁 독주 반발 [파이낸셜뉴스] 장동혁 국민의힘 대표는 12일 예정된 이재명 대통령·정청래 더불어민주당 대표와의 오찬 회동 참석에 대해 재고한다며 사실상 불참 의사를 밝혔다. 지난 11일 더불어민주당 주도로 국회 법제사법위원회에서 사법개혁안인 대법관 증원·재판소원법을 강행 처리한 것에 대한 항의 차원이다. 장 대표는 이날 국회에서 열린 최고위원회의에서 ""최고위원들께서 재고할 것을 요청했기 때문에 최고위를 마치고 지도부와 함께 이 문제에 대해 논의하고 최종 결정을 하도록 하겠다""고 밝혔다. 장 대표는 이번 오찬 회동이 민주당과 조국혁신당의 합당 문제·2차 종합 특검 선임 등을 둘러싸고 당청갈등이 불거진 것을 해결하기 위한 것이라고 분석했다. 그는 ""시기상으로나 여러 면으로 봤을때 부부싸움을 하고 둘이 화해하겠다고 옆집 아저씨를 부른 꼴""이라며 ""그럼에도 어제 현장에서 만난 '시민들이 차라리 명절이 오지 않았으면 좋겠다', '대통령을 만나는 기회가 있다면 요즘 살기가 힘들다는 말을 전해달라'는 말이 무겁게 남아있어 오찬 회동에 응했다""고 말했다. 이어 ""그런데 법사위에서 대한민국 사법 시스템을 완전히 무너뜨리는 일이 또 한 번 벌어졌다""며 ""대통령 공소 취소를 위해 서명운동까지 벌이겠다며 80명이 넘는 여당 의원들이 손을 들고 나섰고, 어제 행정안전위원회에서는 행정통합 특별법이 일방 통과됐고 오늘 논의를 이어간다고 한다. 대통령의 심각한 당무 개입도 있었다""고 했다. 장 대표는 ""오찬 회동을 제안해 놓고 간 밤에 대한민국 사법 시스템을 무너뜨리는 법안을 아무렇지도 않게 통과시켰다""며 ""오늘 오찬에 가면 여야 협치를 위해 무슨 반찬을 내놓았고 쌀에 무슨 잡곡을 섞었다는 것들로 뉴스를 다 덮으려 할 것""이라고 우려했다. 그러면서 ""대한민국 사법 시스템이 무너져 내리는 소리를 덮기 위해 대통령과 악수하는 사진으로 모든 것을 덮을 것""이라고 지적했다.",C-157,T-100,B-99,True,ed2bac6de307,global_similarity
정치권,02ab327473e5,2026-02-12 10:14:00+09:00,2026-02-12 10:21:53,"안희정, 8년 만의 등장에 쏟아진 비난…하태경 ""두번째 기회 줘야""",전날 정치권에 따르면 안 전 지사는 지난 7일 박정현 부여군수의 '변방에서 부는 바람' 출판기념회에 참석했다. 박 군수는 안 전 지사의 도지사 시절 정무부지사를 지냈다. 안 전 지사는 이날 출판기념회장인...,https://n.news.naver.com/mnews/article/015/0005250486?sid=100,https://www.hankyung.com/article/2026021212587,"비서를 성폭행한 혐의로 복역한 안희정 전 충남도지사가 8년 만에 공식 석상에 모습을 드러냈다. 여성단체는 ""성폭력 피해자와 유권자를 모욕하는 행위""라고 반발했다. 하태경 보험연수원장은 ""정치인 안희정이 아니라 적어도 시민 안희정에겐 두 번째 기회(second chance)를 주는 사회가 되면 좋겠다""고 했다. 하 원장은 12일 사회관계망서비스(SNS)에 ""사건이 일어난 지 8년. 대법원판결 7년이 지났지만, 안희정 전 지사가 언론에 나타나니 또다시 여성단체의 비난 세례가 쏟아진다""면서 ""그는 3년 6개월 감옥살이에 총합 7년간 사실상 두문불출한 사람이다. 공직 출마나 임명도 아닌 사적 친분 있는 인사의 행사에 참여한 지극히 시민적인 활동만으로 지탄받고 있다""라고 전했다. 이어 ""이는 지극히 일상적인 시민권마저도 안희정에겐 영구히 박탈되어야 한다는 인식에 기반하고 있다. 정치인 안희정은 물론 시민 안희정에게도 두 번째 기회는 절대 줄 수 없다고 판단한다""라며 ""법치국가의 근본 지향은 두 번째 기회를 주는 것이고 이것이 정의와 인권 보호의 가치를 실현하는 법치국가의 원칙이다""라고 설명했다. 그러면서 ""안희정에게 두 번째 참정권을 부여하자는 말이 아니다. 적어도 누구나 일상적으로 누려야 할 최소한의 시민권은 두 번째 기회를 부여하자는 것이다""라며 ""여성단체가 지향하는 성평등의 원칙 또한 법치국가로서 우리 사회가 지향하는 정의와 인권 보호의 원칙 안에서 지켜질 필요가 있다""고 지적했다. 하 원장은 ""안 전 지사는 자신의 행위에 대한 법적책임을 이미 졌다""면서 ""개인적인 관계에서 자신의 도리를 하는 것과 공적 정치행위는 분리해서 봐야 한다""고 강조했다. 아울러 ""도덕적 비난을 벗어날 수 없다고 해도 시민으로서 두 번째 기회를 주는 것마저 영구히 박탈하는 사회가 과연 공정한 법치주의 사회일까""라고 반문했다. 전날 정치권에 따르면 안 전 지사는 지난 7일 박정현 부여군수의 '변방에서 부는 바람' 출판기념회에 참석했다. 박 군수는 안 전 지사의 도지사 시절 정무부지사를 지냈다. 안 전 지사는 이날 출판기념회장인 부여국민체육센터에 일찍 도착해 2시간 넘게 자리를 지키며 지지자들과 기념 촬영 등을 한 것으로 전해졌다. 이날 주최 측은 ""오늘 이 자리에 함께 있다는 사실만으로도 충분히 의미 있으신 분""이라고 안 전 지사를 소개했다. 이에 그는 자리에서 일어나 청중을 향해 고개 숙여 인사했다. 다만 연단에 올라 축사 등 공개 발언을 하진 않았다. 박 군수는 ""사실상 저를 정치하게 만든 사람""이라며 ""잘못하면 또 비난받을 수 있을 텐데 출판기념회에 온 거 보니까 정말 고맙기도 하고 죄송스럽기도 하고 눈물이 난다""고 밝혔다. 그러면서 ""자기가 나를 키워놨으니까 격려 한마디 해주려는 마음으로 온 것 아닌가 생각한다""고 덧붙였다. 하지만 오는 6월 지방선거를 앞두고 성폭력 가해자인 안 전 지사의 이런 정치행사 등장에 여러 해석이 나오는 가운데 비판 여론도 제기됐다. 대전여성단체연합은 성명을 내고 ""성폭력 가해자의 공적·정치적 활동을 강력히 규탄한다""고 비판했다. 이 단체는 ""권력형 성폭력 범죄가 명백히 인정된 성폭력 가해자가 최근 정치행사에 참석해 공적 영역에 모습을 드러낸 것에 대해 깊은 분노와 우려를 표한다""며 ""성폭력 피해자의 고통과 사회적 책임을 외면한 채 아무 일도 없었다는 듯 공적 공간에 복귀하려는 시도는 우리 사회가 어렵게 쌓아온 성폭력 인식과 책임 기준을 훼손하는 행위""라고 날을 세웠다. 앞서 안 전 지사는 수행비서를 성폭행한 죄로 3년 6개월의 형을 살고 2022년 8월 만기 출소했다.",C-27,T-24,B-19,True,02ab327473e5,global_similarity
더불어민주당,70ad31ec9633,2026-02-12 10:04:00+09:00,2026-02-12 10:10:00,"장동혁, 李대통령 오찬 최고위 반발에 ""재논의해 최종 결정""","앞서 장 대표는 회의 시작과 함께 청와대에서 열리는 이 대통령, 정청래 더불어민주당 대표와 오찬 회동에서 ""국민 목소리를 전달하겠다""고 밝혔다. 하지만 신동욱·김민수·양향자 최고위원 등은 당 대표가 민주당의 오점을...",https://n.news.naver.com/mnews/article/421/0008770665?sid=100,https://www.news1.kr/politics/assembly/6071226,"""여야 대표와 악수 사진으로 모든 것 덮으려 할 것 알아"" (서울=뉴스1) 김정률 손승환 박소은 기자 = 장동혁 국민의힘 대표는 12일 이재명 대통령과 오찬 회동과 관련해 지도부와 논의 후 최종 결정하겠다고 밝혔다. 장 대표는 이날 오전 국회에서 열린 최고위원회의 마무리 발언에서 ""오늘 (오찬 회동에) 가면 여야 협치를 위해서 무슨 반찬 내놨고 쌀에 무슨 잡곡 섞었고 그런 것들로 오늘 뉴스를 다 덮으려 할 것""이라고 말했다. 그는 ""대한민국 사법 시스템이 무너지는 소리를 덮기 위해서 여야 대표와 대통령이 악수하는 사진으로 그 모든 것을 덮으려 할 것""이라며 ""그 의도를 충분히 알지만 공개발언에서 말씀드린 것처럼 서민들의 피눈물 나는 소리를 전달하기 위해 오늘 청와대에 가기로 마음먹었다""고 했다. 이어 ""그러나 오늘 여러 최고위원이 재고해줄 것을 요청했기 때문에 최고위를 마치고 지도부와 함께 이 문제에 대해서 다시 논의하고 최종 결정하도록 하겠다""고 강조했다. 앞서 장 대표는 회의 시작과 함께 청와대에서 열리는 이 대통령, 정청래 더불어민주당 대표와 오찬 회동에서 ""국민 목소리를 전달하겠다""고 밝혔다. 하지만 신동욱·김민수·양향자 최고위원 등은 당 대표가 민주당의 오점을 덮기 위한 오찬 회동에 불참해야 한다고 주장했다.",C-27,T-9,B-8,True,70ad31ec9633,global_similarity
더불어민주당,e7fcb226709f,2026-02-12 09:58:00+09:00,2026-02-12 10:10:00,시작부터 삐걱댄 '대미투자특위'…'사법개혁' 놓고 여야 신경전,이날 회의에선 김상훈 국민의힘 의원이 특위위원장으로 선출됐으며 여야 간사로는 박수영 국민의힘 의원과 정태호 더불어민주당 의원이 각각 선임됐다. 박 의원은 전날 민주당 주도로 법사위 문턱을 넘은 '대법관 증원법...,https://n.news.naver.com/mnews/article/008/0005317636?sid=100,https://www.mt.co.kr/politics/2026/02/12/2026021209273318819,"[the300] 한미 관세협상에 따른 대미 투자 후속 조치 이행을 위해 가동된 국회 '대미투자특별법 특별위원회(특위)'가 첫 날부터 여야간 신경전으로 달아올랐다. 여당이 강행해 법제사법위원회를 통과한 '대법관 증원법'·'재판소원 허용법' 등 사법개혁안에 국민의힘이 강하게 반발하면서 회의가 20분 만에 비공개로 전환됐다. 대미투자특위는 12일 오전 9시 서울 여의도 국회에서 첫 전체회의를 열고 정부 부처 현안 보고를 받을 예정이었다. 지난 9일 국회 본회의에서 특위 구성안이 통과된 지 3일 만이다. 이날 회의에선 김상훈 국민의힘 의원이 특위위원장으로 선출됐으며 여야 간사로는 박수영 국민의힘 의원과 정태호 더불어민주당 의원이 각각 선임됐다. 박 의원은 전날 민주당 주도로 법사위 문턱을 넘은 '대법관 증원법'과 '재판소원 허용법'에 대해 강력히 문제를 제기했다. 대법관 증원법은 현재 14명인 대법관을 26명으로 늘리는 것을 골자로 한다. 재판소원 허용법은 대법원 확정판결이 기본권을 침해했을 경우 헌법재판소에 헌법소원을 청구할 수 있도록 하는 것이 핵심이다. 박 의원은 ""사실상 4심제를 도입하고 대법관을 증원하는 법안을 민주당이 일방적으로 밀어붙이는 태도에 분노하고 규탄할 수밖에 없다""며 ""이런 식이라면 대미투자특위에서 아무리 법안을 논의해도 (법사위에서) 일방적으로 통과시키지 않는다는 보장이 없다""고 비판했다. 이어 ""회의를 정회하고 야당의 일방통행을 막을 수 있는 방안에 대해 여야 합의를 이룬 뒤 속개할 것을 요구한다""고 밝혔다. 야당 간사인 정 의원은 ""특위는 특위대로 운영하고 정치적 현안은 여야 원내지도부 협의를 통해 처리하는 것이 맞다""며 ""국민께서 납득하기 어려울 수 있으니 회의를 원만하게 진행해 달라""고 맞섰다. 양측의 입장이 팽팽히 맞서자 김상훈 위원장은 결국 회의를 비공개로 전환하고 의사진행 발언을 이어가기로 결정했다.",C-5,T-5,B-4,True,e7fcb226709f,global_similarity
더불어민주당,9f44671e83e3,2026-02-12 09:57:00+09:00,2026-02-12 10:10:00,"아이돌봄서비스 등록제, 오는 4월 도입 앞두고 국회 토론회 개최","이번 토론회는 더불어민주당 서영교·김한규·이연희 의원, 국민의힘 이인선·서명옥 의원, 조국혁신당 정춘생 의원이 공동 주최한다. 여야 의원들이 함께 참여하는 자리로, 아이돌봄 정책을 둘러싼 초당적 논의가 이뤄질...",https://n.news.naver.com/mnews/article/310/0000133893?sid=100,https://www.womennews.co.kr/news/articleView.html?idxno=273664,"여야 의원 공동 주최 “민·관 보완 통한 안전한 돌봄 체계 구축” 논의 오는 4월 아이돌봄서비스제공기관 등록제 도입을 앞두고 제도의 실효성을 모색하는 정책 토론회가 국회에서 열린다. 한국아이돌봄협회(협회장 정지예)는 13일 오전 10시 서울 여의도 국회의원회관 제2세미나실에서 '아이돌봄서비스제공기관 등록제 활성화 방안'을 주제로 토론회를 개최한다고 밝혔다. 이번 토론회는 더불어민주당 서영교·김한규·이연희 의원, 국민의힘 이인선·서명옥 의원, 조국혁신당 정춘생 의원이 공동 주최한다. 여야 의원들이 함께 참여하는 자리로, 아이돌봄 정책을 둘러싼 초당적 논의가 이뤄질 것으로 보인다. 발제는 육아정책연구소 김아름 연구위원이 맡아 등록제의 제도적 보완 방향과 현장 적용 방안을 제안할 예정이다. 좌장은 전 여성가족부 차관을 지낸 김경선 숙명여대 석좌교수가 맡는다. 토론에는 서울연구원 최지은 부연구위원을 비롯해 서비스 이용 부모, 민간 아이돌봄 제공 육아도우미, 기획예산처 국민복지예산과 김도희 사무관, 성평등가족부 아이돌봄지원과 정보희 과장 등이 참여한다. 아이돌봄서비스제공기관 등록제는 일정 기준을 충족한 기관만 서비스를 제공하도록 하는 제도로, 서비스 질 관리와 이용자 보호를 강화하는 것을 목표로 한다. 현재 아이돌봄 시장은 공공 아이돌봄 서비스와 민간 돌봄업체가 병존하는 구조로, 서비스 질 편차와 종사자 처우, 관리 체계의 일원화 문제 등이 지속적으로 제기돼 왔다. 특히 저출생 대응 정책의 일환으로 돌봄 공공성 강화가 강조되는 상황에서, 민간 영역과 공공 영역의 역할 분담을 어떻게 설계할 것인지가 주요 쟁점이 될 전망이다. 정지예 한국아이돌봄협회장은 ""아이돌봄서비스 등록제는 공공과 민간이 상호 보완하며 안전한 돌봄 생태계를 만드는 중요한 전환점이 될 것""이라며 ""이번 토론회에서 논의된 의견이 실질적인 정책 개선으로 이어지기를 기대한다""고 밝혔다. 이번 토론회는 한국아이돌봄협회의 2026년 정기총회 개최를 기념해 마련됐다.",C-7,T-7,B-6,True,9f44671e83e3,global_similarity
더불어민주당,6ad0f848e8a5,2026-02-12 09:56:00+09:00,2026-02-12 10:10:00,"박성준 “민주 새 지도부, 이재명 정부 성공 위해 ‘될 일’ 잘 하는 사...",박성준 더불어민주당 의원은 12일 민주당과 조국혁신당이 6월 지방선거 뒤 통합한 상태로 전당대회를 치르는 이른바 ‘통합 전당대회’ 구상은 “물리적으로도 불가능하고 상식적으로도 있을 수 없는 것”이라고 말했다....,https://n.news.naver.com/mnews/article/028/0002791329?sid=100,https://www.hani.co.kr/arti/politics/politics_general/1244652.html,"박 의원 “합당은 새 지도부가 논의해야 물리적·상식적으로 통합전대 불가능” 박성준 더불어민주당 의원은 12일 민주당과 조국혁신당이 6월 지방선거 뒤 통합한 상태로 전당대회를 치르는 이른바 ‘통합 전당대회’ 구상은 “물리적으로도 불가능하고 상식적으로도 있을 수 없는 것”이라고 말했다. 박 의원은 이날 시비에스(CBS) 라디오 ‘박성태의 뉴스쇼’에 나와 “이번에 구성된 통합과 연대를 위한 준비 모임은 하나의 중간 ‘브릿지’(다리) 역할을 하는 것”이라며 “브릿지는 결정권이 없다”고 말했다. 앞서 민주당의 제안으로 두 당은 지방선거 선거 연대와 지방 선거 뒤 통합을 논의할 ‘연대와 통합을 위한 추진 준비위원회’를 구성하기로 한 바 있다. 박 의원은 “(준비위는) 그냥 준비 모임이고 돌다리 역할을 하는 것”이라며 “다음 지도부가 이거에 대해서 어떻게 할 건가에 대한 것은 나오게 되는 것”이라고 말했다. 추진준비위에서 통합 논의를 본격화할 수 없고, 새 지도부가 합당 여부와 방식을 논의하게 될 것이란 얘기다. 박 의원은 앞서 강득구 민주당 최고위원이 페이스북에 게시했다가 삭제한 글에 ‘이재명 대통령의 뜻은 통합전당대회에 있다’는 내용이 담겼던 것에 대해 “사실 관계가 전혀 맞지 않는다”며 “지금 물리적으로 가능합니까”라고 되묻기도 했다. 박 의원은 “지금 여론이라거나 당내 상황을 봤을 때 누가 (통합 전당대회가) 가능하다고 생각하겠느냐”며 “그런 의견이 나온다는 게 저는 어디서 나왔는지를 모르겠다”고 말했다. 강 의원은 해당 게시글은 보좌진이 실수로 게시한 것으로, 사실관계가 달라 삭제를 지시했다고 해명한 바 있다. 박 의원은 ‘정청래 대표가 다음 전당대회에서 불리해졌다는 관측이 나오는데 어떻게 보느냐’는 사회자 질문에 “이재명 정부 성공을 위해서 차기 지도부는 해야 될 일을 잘할 수 있는 사람이 해야 된다”며 “그런 차원에서 저는 그 (새 지도부) 선출에 분명한 좌표가 있다고 판단한다”고 답했다. 박 의원은 이건태 의원과 함께 상임대표를 맡은 ‘이재명 대통령 사건 공소취소·국정조사 추진 의원모임’에 대해 “목표가 있고 명분이 있는데 무슨 정청래 반대세력 모임이라고 할 수가 있겠는가”라고 말하기도 했다. 공소취소 의원 모임은 이날 오전 중 국회에서 출범 기자회견을 연다.",C-8,T-8,B-7,True,6ad0f848e8a5,global_similarity
정치권,4c09cdc23d39,2026-02-12 09:54:00+09:00,2026-02-12 10:21:53,"'하버드' 경력보다 주목 받은 고백 뭐길래…35세 신인, 정치 명문가 꺾...",일본 정치권에서 임신한 여성이 중앙 정치에 도전하는 사례는 극히 드물다. 특히 젊은 엄마에 대한 직장 내 차별을 뜻하는 '마타하라(임신·출산 괴롭힘)'라는 용어가 생길 만큼 '일하는 엄마'에 대한 사회적 편견이 남아...,https://n.news.naver.com/mnews/article/277/0005721065?sid=104,https://view.asiae.co.kr/article/2026021209213072005,"""새 생명을 선물받았다"" 선거 중 임신 고백 후지타 나가노현 제2구서 44.8% 득표 현역 중진 후보에 승리 후지타 의원 ""젊은 세대에 메시지"" 일본 중의원 선거 레이스 중 임신 사실을 공개한 자민당 소속 후지타 히카루(35) 의원의 당선이 화제를 모으고 있다. 일본 사회에서는 임신·출산이 여성 정치인에게 불리하게 작용할 수 있다는 인식이 있지만, 임신 사실을 공개한 채 당선됐다는 점에서 의미가 적지 않다는 평가가 나온다. 지난 8일 실시된 중의원 선거 나가노현 제2구에서 후지타 의원은 44.8%를 득표해 현역인 중도개혁연합 소속 시모조 미쓰 후보(34%)를 꺾고 당선됐다. 시모조 후보는 조부와 부친이 각각 참의원 의원과 국무대신을 지냈고, 본인 역시 두 차례 해당 지역구를 지낸 중진 정치인이다. 세습 정치 전통이 강한  일본 정계에서 정치 신인 후지타 의원이 '정치 명문가' 출신 후보를 꺾은 것이다. 엘리트 경력보다 주목받은 '임신 고백' 후지타 의원은 히토쓰바시대 사회학부를 졸업한 뒤 미국 하버드대 케네디스쿨에서 공공정책 석사 학위를 받았다. 외무성에서 경제 안보와 북한 미사일 관련 사안을 담당하며 약 10년간 근무했고, 이후 맥킨지 컨설턴트를 거쳐 정계에 입문했다. 이같은 화려한 이력에도 불구하고 선거 기간 내내 더 큰 관심을 받은 건 '임신 공개'였다. 그는 지난 1월 말 사회관계망서비스(SNS) ""새 생명을 선물 받았다""고 밝혔다. 후지타 의원은 ""임신한 여성도 출마할 수 있다는 것을 보여주고 싶었다""며 ""젊은 세대에 메시지를 보내고 싶었다""고 말했다. 일본 정치권에서 임신한 여성이 중앙 정치에 도전하는 사례는 극히 드물다. 특히 젊은 엄마에 대한 직장 내 차별을 뜻하는 '마타하라(임신·출산 괴롭힘)'라는 용어가 생길 만큼 '일하는 엄마'에 대한 사회적 편견이 남아 있다. 선거 기간 임신 사실을 밝히는 건 정치적 부담이 따르는 선택이었던 셈이다. 실제로 온라인상에서는 ""지금 시기에 적절하냐""는 등의 부정적 반응도 이어졌다. 후지타 의원은 지난 6일 뉴욕타임스와의 인터뷰에서 자신을 향한 댓글에 대해 ""낙담스럽고 실망스럽다""고 토로했다. 다만 ""조금은 영향을 받지만 결국 그런 댓글은 보이지 않는 것들""이라고 말했다. 다카이치 총리 유세 지원도…후지타 ""친근한 존재로 남고 싶다"" 소감 논란이 있었지만 후지타 의원은 당과 가족의 지원 속에 선거전을 치렀다. 같은 당 소속 다카이치 사나에 일본 총리는 성평등 이슈에 대해 공개적으로 목소리를 내지 않아 왔지만, 나가노현을 찾아 후지타 의원을 지원하기도 했다. 다카이치 총리는 ""그보다 더 대단한 사람은 없다""며 ""그에게 힘을 달라""고 말했다. 남편 도모히로 후지타는 물리학 교수직에서 휴직하고 선거를 도왔다. 그는 남편을 뜻하는 일본어가 적힌 흰 비니를 쓰고 유세에 동행했다. 일본은 지난해 여성 총리가 탄생했지만, 여성의 정치 참여는 여전히 낮다. 이번 선거에서 중의원 전체 465석 가운데 여성 당선자는 68명(지역구 28명, 비례대표 40명)으로 전체 당선자의 14.6%에 불과하다. 73명의 여성 의원이 당선됐던 2024년보다 오히려 감소한 수치다. 후지타 의원 역시 첫 도전에서는 낙선한 바 있다. 이번 선거에서 후지타 의원은 임신 사실을 공개한 상태로 선거를 치러 승리를 거뒀다. 일본 지역 매체 시민타임스는 10일 ""나가노현 제2구 자민당 후보가 10만 표 이상을 얻은 것은 이번이 처음이고, 현내 소선거구에서 여성 당선자가 나온 것도 처음""이라고 전했다. 후지타 의원의 출산은 올여름께로 예정돼있다. 그는 대화 집회는 물론 SNS 통한 소통도 이어갈 예정이다. 그는 ""다카이치 사나에 총리의 돌풍에 도움을 받았다""며 ""정치에 대한 신뢰를 높이고, 친근한 존재로 남고 싶다""며 당선 소감을 밝혔다.",C-31,T-27,B-22,True,4c09cdc23d39,global_similarity
청와대,ff86779a0067,2026-02-12 09:50:00+09:00,2026-02-12 10:04:18,"[속보] 장동혁, 청와대 3자회동 참석 재고",앞서 이날 최고위에 참석한 국민의힘 신동욱·양향자·김민수·조광한 최고위원은 장 대표의 청와대 오찬회동 참석을 만류하는 공개 발언을 했다. 송언석 원내대표를 제외한 최고위원 전원이 '참석하지 말라'고 한 것이다.,https://n.news.naver.com/mnews/article/002/0002427729?sid=100,https://www.pressian.com/pages/articles/2026021209482207946?utm_source=naver&utm_medium=search,"최고위원들, 법사위 상황 등 이유로 참석 만류 장동혁 국민의힘 대표가 12일 예정된 대통령과 여야 정당 대표 간의 오찬 회동 참석을 재고하겠다고 밝혔다. 장 대표는 이날 오전 최고위원회의에서 ""여러 최고위원들께서 저에게 (참석을) 재고해줄 것을 요청하셨기 때문에, 최고위 마치고 지도부와 함께 이 문제에 대해서 다시 논의하고 최종 결정하겠다""고 했다. 장 대표는 ""사실 오늘 오찬 회동은 어제 대구, 나주 현장 행보 중에 급작스럽게 연락을 받았다""며 ""시기상으로나 여러가지 면을 봤을 때 부부싸움하고 둘이 화해하겠다고 옆집 아저씨 불러놓는 꼴이라는 것을 충분히 알고 있었음에도, 현장에서 만난 시민들께서 저한테 하셨던 말씀인 '차라리 명절이 오지 않았으면 좋겠다', '혹시 대통령을 만나는 기회가 있다면 너무 살기 힘들다는 말을 꼭 전해달라'는 말이 남아있어서 그런 목소리를 전해야겠다는 마음으로 오찬회동에 응했다""고 했다. 그는 ""그런데 그 이후에 법사위에서 대한민국의 사법 시스템을 완전히 무너뜨리는 일이 또 한 번 벌어졌다""며 어제 오찬회동을 제안해 놓고 간밤에 대한민국의 사법시스템을 무너뜨리는 법안들을 유유히 아무렇지도 않게 통과시켰다""고 했다. 그는 ""오찬 회동을 수락한 이후에 벌어진 많은 일들을 간밤에 또 고민하고 고민해봤다. 이 회동이 어떤 의미가 있는 것인지""라며 ""오늘 가면 '여야 협치를 위해서 무슨 반찬을 내놓았고', '쌀에 무슨 잡곡을 섞었고' 그런 것들로 오늘 뉴스를 다 덮으려 할 것""이라고 했다. 앞서 이날 최고위에 참석한 국민의힘 신동욱·양향자·김민수·조광한 최고위원은 장 대표의 청와대 오찬회동 참석을 만류하는 공개 발언을 했다. 송언석 원내대표를 제외한 최고위원 전원이 '참석하지 말라'고 한 것이다.",C-28,T-24,B-0,True,ff86779a0067,global_similarity
정치권,aa64b82588be,2026-02-12 09:43:00+09:00,2026-02-12 10:21:53,제주도의원 예비후보 등록 코앞…“선거구 획정 13일 윤곽”,정치권의 지방자치 발전 구호는 요란하지만 선거구 획정조차 제때 못해 유권자와 후보들의 혼란은 선거 때마다 되풀이되고 있습니다. KBS 뉴스 안서연입니다. 촬영기자:양경배,https://n.news.naver.com/mnews/article/056/0012124118?sid=100,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8484403&ref=A,"[KBS 제주] [앵커] 이제 설 연휴가 지나면 제주도의원 예비후보 등록이 시작되는데요. 하지만 아직도 선거구가 확정되지 않으면서 혼란을 겪고 있습니다. 선거구획정위는 이번에도 결론을 내지 못하고 13일에 긴급회의를 개최할 예정입니다. 안서연 기자입니다. [리포트] 제주도의원 예비후보 등록을 코앞에 두고 모인 선거구 획정위원들. 기준 인구 초과로 조정 대상이 된 삼양·봉개동 선거구를 놓고 난상 토론이 벌어졌습니다. 현행대로 유지할 수 있도록 인구가 상한선을 넘지 않았던 2024년 12월을 기준일로 삼자는 의견과, 이 경우 위헌 소지가 있다며 봉개동과 아라동을 선거구를 합치자는 의견이 팽팽히 맞섰습니다. 결국 결론이 나지 않으면서 13일 긴급회의를 열고 다시 논의를 이어가기로 했습니다. [김수연/제주도의원선거구획정위원장 : ""가장 중요한 투표 가치의 평등 문제도 있고요. 그다음에 주민 의견이나 교통, 지세 등 지역 사회의 특수성을 충분히 고려해서 합리적인 안을 도출하기 위한.""] 오는 20일 예비후보 등록일 전 선거구 윤곽을 잡겠다는 건데, 문제는 국회 정치개혁특별위원회의 의원 정수 결정에 따라 선거구가 다시 조정될 수도 있습니다. 선거구 획정 법정 기한을 한 달이나 넘긴 지난달, 역대 가장 늦게 가동된 국회 정개특위는 오는 3월쯤 결론을 낸단 계획입니다. 하지만 앞서 2022년 지방선거에서도 선거를 불과 37일 남기고 선거구가 획정된 바 있어 우려는 좀처럼 가라앉지 않고 있습니다. 정치권의 지방자치 발전 구호는 요란하지만 선거구 획정조차 제때 못해 유권자와 후보들의 혼란은 선거 때마다 되풀이되고 있습니다. KBS 뉴스 안서연입니다. 촬영기자:양경배",C-20,T-18,B-17,True,aa64b82588be,global_similarity
이재명,1d06f5b58b4e,2026-02-12 09:40:00+09:00,2026-02-12 09:58:57,"송언석 “김민석, 당무개입 선 넘나 싶었는데…진짜 흑막은 이 대통령”...","송언석 국민의힘 원내대표가 ""요즘 더불어민주당을 지켜보면서 김민석 국무총리의 당무 개입이 선을 넘는다 싶었는데, 강득구 의원이 올린 페북글을 보니 당무 개입의 진짜 흑막은 이재명 대통령이었다""고 말했습니다. 송...",https://n.news.naver.com/mnews/article/449/0000335146?sid=100,https://www.ichannela.com/news/main/news_detailPage.do?publishId=000000514366,"송언석 국민의힘 원내대표가 ""요즘 더불어민주당을 지켜보면서 김민석 국무총리의 당무 개입이 선을 넘는다 싶었는데, 강득구 의원이 올린 페북글을 보니 당무 개입의 진짜 흑막은 이재명 대통령이었다""고 말했습니다. 송 원내대표는 오늘(12일) 국회에서 열린 최고위원회의에서 ""의원실의 실수라고 하는 강득구 의원의 궁색한 해명을 어느 국민이 믿을 수 있겠습니까?""라며 ""국민을 바보로 여기는 거짓 해명은 즉각 중단하라""고 목소리를 높였습니다. 이 모습 현장영상으로 확인해 보시죠.",C-176,T-137,B-134,True,1d06f5b58b4e,global_similarity
